"","lagoslakeid","water_year","fluxTN_kgy","fluxTP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","p.value_TN","p.value_TP","lake_namelagos"
"441","467587",2009,17604.7248157466,1534.3762677278,1704.74711131914,119.443232184916,0,0,"Bull Run Reservoir No. 2"
"442","467587",2010,13004.8293265591,1105.12196781671,1091.16427737708,74.7632746861586,0,0,"Bull Run Reservoir No. 2"
"443","467587",2011,23853.4523119616,2110.82717672796,2655.54021285683,196.337093735275,0,0,"Bull Run Reservoir No. 2"
"444","467587",2012,19572.0987176554,1734.85317440277,2144.90097749448,153.077317195779,0,0,"Bull Run Reservoir No. 2"
"445","467587",2013,18133.7922483475,1452.09862307841,1985.06643674582,126.863340558063,0,0,"Bull Run Reservoir No. 2"
"446","467587",2014,18506.1130874495,1590.40603696848,2308.93168960708,158.617157452384,0,0,"Bull Run Reservoir No. 2"
"447","467587",2015,10566.4267022119,830.033599011491,1356.58982801977,85.6917977887868,0,0,"Bull Run Reservoir No. 2"
"448","467780",2001,2627.96318751554,161.399091837583,232.32932601585,14.2117537925234,0,0,"Bull Run Reservoir Number One"
"449","467780",2002,5510.6136242637,345.458706593672,426.758523697337,27.2066379938814,0,0,"Bull Run Reservoir Number One"
"450","467780",2003,4188.74488260232,288.667320847782,317.372306094386,22.8524496163211,0,0,"Bull Run Reservoir Number One"
"451","467780",2004,5520.65748854204,355.427129418339,428.557607496493,29.4682151022142,0,0,"Bull Run Reservoir Number One"
"452","467780",2005,4105.56354966365,263.261113735545,314.720853972691,20.7372593992174,0,0,"Bull Run Reservoir Number One"
"453","467780",2006,6169.00802842245,436.162746367758,528.135976967499,38.3475690528916,0,0,"Bull Run Reservoir Number One"
"454","467780",2007,6436.34496730678,499.443296724307,630.218574747776,51.5114239161035,0,0,"Bull Run Reservoir Number One"
"455","467780",2008,6738.89424218729,577.893948224358,633.175193220563,54.8851835194835,0,0,"Bull Run Reservoir Number One"
"456","467780",2009,5894.77418334535,562.181280787769,634.586729594386,60.7975290406994,0,0,"Bull Run Reservoir Number One"
"457","467780",2010,4854.8103295191,472.974703844043,522.304858599459,50.7483096452629,0,0,"Bull Run Reservoir Number One"
"458","467780",2011,5338.65381514454,615.941186738055,709.112589205602,82.6883160334624,0,0,"Bull Run Reservoir Number One"
"459","467780",2012,4122.34727826048,544.521918320966,642.295761214407,82.4753550735435,0,0,"Bull Run Reservoir Number One"
"460","467780",2013,3474.68418035797,472.762092275597,646.582995344063,84.9195667153147,0,0,"Bull Run Reservoir Number One"
"461","467780",2014,2538.59011379785,422.048803575734,584.95314462245,93.6787737764444,0,0,"Bull Run Reservoir Number One"
"462","467780",2015,1511.0064926284,257.424945042382,418.989123884632,68.4208446123564,0,0,"Bull Run Reservoir Number One"
"463","336493",2001,10121.5206005662,456.028374036741,932.083279548063,56.2643081394286,0,0,"Pactola Reservoir"
"464","336493",2002,8756.65570760758,406.015989559744,703.471737242866,65.0761044591736,0,0,"Pactola Reservoir"
"465","336493",2003,7406.9356679197,421.716532364648,523.484637122633,130.726712034596,0,0,"Pactola Reservoir"
"466","336493",2004,5635.71381847727,158.619539323568,305.658507186565,14.8449296632512,0,0,"Pactola Reservoir"
"467","336493",2005,4710.32598409676,117.413518271291,227.495822746892,11.0163785020634,0,0,"Pactola Reservoir"
"468","336493",2006,5325.37001489637,138.596033932047,232.855698751116,12.266225734885,0,0,"Pactola Reservoir"
"469","336493",2007,4651.97684354825,107.017249132455,200.017360563682,10.2570112726303,0,0,"Pactola Reservoir"
"470","336493",2008,4974.83506977363,110.139693153209,217.819780200933,10.7521467026741,0,0,"Pactola Reservoir"
"471","336493",2009,7367.41364328289,195.806786722472,319.666287499699,17.9894289814046,0,0,"Pactola Reservoir"
"472","336493",2010,10469.3134245649,421.848905765551,525.585958075154,128.113933381987,0,0,"Pactola Reservoir"
"473","336493",2011,15462.9544836749,690.06539554752,888.074095978443,158.641069264794,0,0,"Pactola Reservoir"
"474","336493",2012,11905.8549418473,266.610022680491,652.655280757719,27.4852452622725,0,0,"Pactola Reservoir"
"475","336493",2013,9312.06603937339,169.958250122288,557.59395806747,17.884401947774,0,0,"Pactola Reservoir"
"476","336493",2014,11918.0856497131,244.778721767664,779.205699757321,28.1300311535983,0,0,"Pactola Reservoir"
"477","336493",2015,15515.9868429744,390.222391679174,1131.06085884843,58.9521495710358,0,0,"Pactola Reservoir"
"478","341691",2001,128186.492643331,12924.4397851961,34707.4070428093,6810.61443285486,0,1.11022302462516e-16,NA
"479","341691",2002,7169.01637313797,500.374668957411,861.734444938423,165.660171074338,0,1.11022302462516e-16,NA
"480","341691",2003,11705.2424438546,978.822892640309,2039.16749223686,339.171504810703,0,1.11022302462516e-16,NA
"481","341691",2004,65244.8812642772,5538.12641976222,18753.5490664144,2613.28500989594,0,1.11022302462516e-16,NA
"482","341691",2005,4657.36861932601,283.415541847991,563.798843967906,75.2150015575808,0,1.11022302462516e-16,NA
"483","341691",2006,21124.1426394213,1746.2623874755,3634.11744639156,490.426366836116,0,1.11022302462516e-16,NA
"484","341691",2007,7482.1424789295,572.305711437932,1036.51317667691,139.354335895198,0,1.11022302462516e-16,NA
"485","341691",2008,2449.07084230658,178.899960557192,317.212800663094,42.457257796252,0,1.11022302462516e-16,NA
"486","341691",2009,306165.640992082,25006.4617602813,117547.683796872,13194.9915427327,0,1.11022302462516e-16,NA
