"","lagoslakeid","water_year","totaldepnitrogen_kgperha","flux","lake_lon_decdeg","lake_lat_decdeg","totTNload_gm2yr","TN_removal_gNm2yr"
"706","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"707","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"708","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"709","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"710","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"711","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"712","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"713","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"714","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"715","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"716","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"717","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"718","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"719","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"720","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"721","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"722","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"723","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"724","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"725","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"726","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"727","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
